ref_number,Checked,PubmedID,Weblink,Study,Author,Year,location,study_design,pop_source,sampl_method,n_baseline,overall,prop_male,sex_subgroups,mean_age_base,sd_age_base,lci_age_base,uci_age_base,pa_domain_subgroup,mean_followup,sd_followup,tot_personyrs,outcome,outcome_type,outcome_def,outcome_tool,pa_tool,pa_unit,pa_cat_def,other_pa_domains,tot_cases,effect_measure,"adjustments (Age, Sex)","adjustments1 (BMI, diet etc)","adjustments2 (BMI, diet etc)",pa_cat,cases,personyrs,totalpersons,effect,lci_effect,uci_effect,effect1_adj1,lci_effect1_adj1,uci_effect1_adj1,effect2_adj2,lci_effect2_adj2,uci_effect2_adj2,obs,Other References required for dose derivation/harmonisation,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Final Harmonised exposure (MMET-hrs/wk),Notes on exposure harmonisation,Final Harmonised exposure (MMET-hrs/wk)  FOR SENSITIVITY ANALYSIS,SEPARATOR COLUMN,Domain,Frequency,Duration,Intensity,Volume,Mean MET.hr/wk ,Median MET.hr/wk,MMET.hr/wk,Median MMET.hr/wk,Source,Status from Eoin,,Frequency,Session length,Duration (hrs/wk),Intensity (METS),Mean Activity (MET.hr/wk) ,Median Activity (MET.hr/wk),Mean Activity (MMET.hr/wk) ,Median Activity (MMET.hr/wk),Final Harmonised exposure (MMET-hrs/wk),,Intensity Assumed?,Duration Assumed?,Midpoint  Intensity?,Midpoint  Duration?,,,Alternative Intensity - MVPA = 3.5,MET.hr/wk,MMET.hr/wk,,MET.hr/wk,MMET.hr/wk,,1_MET.hr,2_MET.hr,3_MET.hr,4_MET.hr,5_MET.hr,6_MET.hr,7_MET.hr,8_MET.hr,9_MET.hr,1_MMET.hr,2_MMET.hr,3_MMET.hr,4_MMET.hr,5_MMET.hr,6_MMET.hr,7_MMET.hr,8_MMET.hr,9_MMET.hr,,objective_calibration
5,New ,,,Black Women’s Health Study,Nomura et al.,2016,USA,Prospective cohort study,African American women in USA,"In 1995, subscribers to Essence magazine were mailed health questionnaires. A small number of women were also recruited from several professional organizations or were friends or relatives of early respondents. Women who were aged 21–69 years, self-identified as Black, and completed the study questionnaire comprised the cohort",49103 ,1,0,2,38.2,10.4,,,LTPA,15.1,,681125.0,colon cancer,incidence,Colon and rectal cancer cases (ICD-10 colon cancer: C18.0–C18.9 and C26.0; ICD-10 rectal cancer: C19.9 and C20.9) were identified through self-report on the follow-up questionnaires and through linkage with cancer registries in 24 states in which 95 % of participants live,ICD,questionnaire ,category,PA levels ascertained  through walking for exercise and vigorous activity levels (High PA: ?3–4 h/week vigorous or ?5–6 h/week walking for exercise; moderate PA: 1–2 h/week vigorous or 1–4 h/week walking for exercise); Low PA:<1 h/week vigorous or walking for exercise),Sedentary behaviour ,267,HR,"age, BMI, alcohol consumption (<1, 1-6, 7-13, >13 drinks/wk), geographic region of residence (Northeast, South, Midwest, West, other), caloric intake (continuous), smoking (never, former, <15 cigarettes/day, ?15 cigarettes/day), family history of colorectal cancer (yes/no), education (?12, 13–15, ?16 years), menopausal status (pre/post), diabetes (yes/no), insulin usage (yes/no), aspirin usage (yes/no), colonoscopy (yes/no), sigmoidoscopy (yes/no)",,,High,29,83634.0,6029,0.58,0.22,1.57,,,,,,,,,,,,,19.13,,17.38,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,New ,27100409,https://www.ncbi.nlm.nih.gov/pubmed/27100409,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",121200 ,0,1,1,53.3,IQR (46.6–59.6),,,LTPA,11.6,,1339718.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,10950,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,<45 METs/wk,2200,267943.6,24240,1,,,,,,,,,"Main exposure was lifestyle score but reported individual components; Paper reported median age, median follow-up; Pyears dervied based on equally distributed quintiles of PA. Cases occuring in each PA cat derived using HR weighting",,,,,,7.58,"Calibrated from objective PAEE data; Total PA index subtracted by PAEE level in sedentary workers reporting no LTPA (InterAct paper 2012). As these were quartiles, quintiles were mapped by linear interpolation across quartiles; however matched to top quintile if lower",7.58,,"For ""New"" Studies, Refer to individual study harmonisation sheet tabs for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",121200 ,0,1,1,53.3,IQR (46.6–59.6),,,LTPA,11.6,,1339718.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,10950,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,45–69 METs/wk,2200,267943.6,24240,1,0.942,1.062,,,,,,,,,,,,,13.01,,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",121200 ,0,1,1,53.3,IQR (46.6–59.6),,,LTPA,11.6,,1339718.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,10950,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,69–96 METs/wk,2195,267943.6,24240,0.998,0.939,1.061,,,,,,,,,,,,,17.98,,17.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",121200 ,0,1,1,53.3,IQR (46.6–59.6),,,LTPA,11.6,,1339718.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,10950,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,96–134 METs/wk,2184,267943.6,24240,0.993,0.934,1.056,,,,,,,,,,,,,22.78,,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",121200 ,0,1,1,53.3,IQR (46.6–59.6),,,LTPA,11.6,,1339718.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,10950,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,134 METs/wk,2171,267943.6,24240,0.987,0.926,1.051,,,,,,,,,,,,,25.20,,25.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",270408 ,0,0,2,51.7,IQR (45.3–58.4),,,LTPA,11.8,,3006119.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,17564,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,<45 METs/wk,3682,601223.8,54082,1,,,,,,,,,"Main exposure was lifestyle score but reported individual components; Paper reported median age, median follow-up; Cases derived using HR weighting",,,,,,8.09,"Calibrated from objective PAEE data; Total PA index subtracted by PAEE level in sedentary workers reporting no LTPA (InterAct paper 2012). As these were quartiles, quintiles were mapped by linear interpolation across quartiles; however matched to top quintile if lower",8.09,,"For ""New"" Studies, Refer to individual study harmonisation sheet tabs for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",270408 ,0,0,2,51.7,IQR (45.3–58.4),,,LTPA,11.8,,3006119.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,17564,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,45–69 METs/wk,3620,601223.8,54082,0.983,0.938,1.029,,,,,,,,,,,,,11.55,,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",270408 ,0,0,2,51.7,IQR (45.3–58.4),,,LTPA,11.8,,3006119.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,17564,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,69–96 METs/wk,3476,601223.8,54082,0.944,0.899,0.99,,,,,,,,,,,,,17.77,,17.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",270408 ,0,0,2,51.7,IQR (45.3–58.4),,,LTPA,11.8,,3006119.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,17564,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,96–134 METs/wk,3432,601223.8,54082,0.932,0.886,0.98,,,,,,,,,,,,,26.20,,26.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,New ,,,EPIC-Europe,McKenzie et al.,2016,Europe,Prospective cohort study,"EPIC is a prospective cohort study conducted in 23 centers across 10 European countries (Denmark, France, Germany, Greece, Italy, the Netherlands, Norway, Spain, Sweden, and the United Kingdom).","Participants were aged between 25 and 70 years and enrolled from the general population, with exceptions for France (national health insurance scheme members), Utrecht and Florence (breast cancer screening participants), Oxford (health conscious, mainly vegetarian, volunteers), and some centers from Italy and Spain (blood donor participants).",270408 ,0,0,2,51.7,IQR (45.3–58.4),,,LTPA,11.8,,3006119.0,total cancer,incidence,"In Denmark, Italy, the Netherlands, Norway, Spain, Sweden, and the UK follow-up was performed through cancer registries. In France, Germany, and Greece, follow-up was performed through health insurance records, cancer/pathology registrations, and via participants and their next-of-kin. Cancer incident cases were defined as first primary invasive tumors (coded using the 10th Revision of International Statistical Classification of Diseases).",ICD,EPIC lifestyle questionnaire,MET quintiles,"top quintile of physical activity based on recreational and household metabolic equivalent tasks (5th quintile=4, 4th quintile=3, 3rd quintile=2, 2nd quintile=1, 1st quintile=0)",,17564,HR,"Stratified by study center and age, and adjusted for height, education, nonalcohol energy intake, and other index components (diet score, smoking, alcohol, BMI)",,,134 METs/wk,3354,601223.8,54082,0.911,0.863,0.961,,,,,,,,,,,,,30.41,,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
